tipe,jarak,sudutH,sudutV,area,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
1,10,10,10,No Sign Detected,
,,,,24926,5,
,,,,20642,
,,,,No Sign Detected,
,,,,18720,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,30283,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,33962,5,
,,,,31420,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,25419,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,21486,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,11343,
,,,,4635,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,5454,5,
,,,,No Sign Detected,
,,,,5392,
,,,,5318,5,
,,,,No Sign Detected,
,,,,5315,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,12701,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,18636,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,25187,5,
,,,,No Sign Detected,
,,,,9272,5,
,,,,4134,5,
,,,,5797,
,,,,7838,5,
,,,,No Sign Detected,
,,,,5727,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,13956,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,7764,
,,,,8310,5,
,,,,8029,
,,,,7938,5,
,,,,7827,
,,,,7172,5,
,,,,6672,5,
,,,,3990,5,
,,,,9905,
,,,,11251,5,
,,,,No Sign Detected,
,,,,12358,5,
,,,,11561,5,
,,,,10240,
,,,,No Sign Detected,
,,,,12427,5,
,,,,No Sign Detected,
,,,,11756,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,9603,
,,,,8904,
,,,,8815,5,
,,,,No Sign Detected,
,,,,8755,
,,,,8712,5,
,,,,No Sign Detected,
,,,,8665,
,,,,8705,5,
,,,,8677,
,,,,8676,
,,,,No Sign Detected,
,,,,8703,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,6543,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,No Sign Detected,
,,,,6876,5,
,,,,No Sign Detected,
,,,,No Sign Detected,
